created_at,tweet,sentiment,compound
2019-03-14 22:32,Tethers US Dollar Peg Is No Longer Credible btc bitcoin  ,0.196,-0.296
2019-03-14 22:32,If btcs fees and transaction times make peoples heads turn then Ripple is even more astounding By using XRP you can turn that 4680-second wait into just 4 seconds And the fees are minuscule even compared to btc XRPCommunity  ,0.077,0.4754
2019-03-14 22:32,slavefootjesus CryptoLaughing MrHodl MatijaHribernik StopAndDecrypt mikeinspace alpacasw vakeraj rm0rf Th3Acist orionwl officialmcafee Yep you get it The bitcoin center requires you run their software This is how coups work You should encourage everyone to join the coup The ogs are happy to invest in the real bitcoin at the expense of those that cant tell the difference ,0.217,0.9246
2019-03-14 22:32,You chase money every single day You stress over money all your life You worship money But you have no idea why money is valuable Money controls your life because you have no understanding of what it is Once you ask yourself What is money Bitcoin will make sense ,0.131,-0.1901
2019-03-14 22:32,We have just broadcast our first transmission using Blockstream Satellite Network Sharing the message of our upcoming Multi-Currency Light Wallet and one-click Lightning Swaps to the planet thanks to LightningNetwork payments blockchaintechnology bitcoin blocksat $XSN  ⚡,0.22,0.8625
2019-03-14 22:32,One of the many reasons I am thrilled and excited to see cosmos grow buchmanster has put his blood sweat and tears into this  ,0.289,0.765
2019-03-14 22:32,Bitcoin BTC Prices Responding as Billionaires like Jack Accumulate newsoftheweek Bitcoin blockchain crypto  ➡ 🗺 ▶,0.224,0.5994
2019-03-14 22:32,Card skimmers keep getting more sophisticated and harder to spot A great reason to use cash or Bitcoin whenever possible and avoid the ATM alltogether banking security cardskimmers fraud finance staysafe ,0.251,0.659
2019-03-14 22:32,If btcs fees and transaction times make peoples heads turn then Ripple is even more astounding By using XRP you can turn that 4680-second wait into just 4 seconds And the fees are minuscule even compared to btc XRPCommunity  ,0.077,0.4754
2019-03-14 22:32,Cryptocurrency Mastery - How to Buy Bitcoin Ethereum amp More udemy 100% free course Business  ,0.35,0.7553
2019-03-14 22:32,A glimpse into the future Register Now amp Start Buying amp Selling Cryptocurrency Crypto Cryptocurrency Bitcoin BTC Ethereum ETH Ripple XRP EOS Stellar Litecoin LTC Cardano Monero TRON IOTA Dash Tezos  👉 👀 📈 📉 ✅,0.062,-0.0516
2019-03-14 22:32,We are hopeful Tesla and elonmusk will accept all payments using our 100% cash secured deposit insurance for their future high tech buyers Send them a message stating we are ready to secure ,0.401,0.9468
2019-03-14 22:32,To put this in perspective its taken less than a day for the Cosmos Hub to generate as many blocks as Bitcoin did in its first four months  ,0.068,-0.2263
2019-03-14 22:32,Bitfury Integration to Bring Bitcoin Lightning Payments to More Merchants via CoinDesk ,0.0,0.0
2019-03-14 22:32,Chatter Bot Updates Vip update alerts here gt Predictive AI Bot For Crypto Blockchain Coins 93% Accurate VIP Members Only LifeChanging SpellBinding Magical Crypto Bitcoin cryptocurrency BTC LTC $Btc 🤖 🤖 🤑 🤑 💰 💰 🧙 ♂ 🧙 ♂ 💰,0.17,0.8567
2019-03-14 22:32,If you never shorted bitcoin from $20000 to $4000 and decide to short the asset now that its down 80% maybe its time to reevaluate your investment thesis ,0.172,-0.4939
2019-03-14 22:32,Bitcoin random giveaway of up to 25 BTC in about 48 hours More you do more you win CQFChallenge MANDATORY Retweet this amp follow me 02 $BTC OPTIONAL Boosts You Pick Tag 3 friends 025 BTC Sub to my YT 035 DeltaExchange is giving huge boosts see below  🎁,0.374,0.9679
2019-03-14 22:33,Crypto Users Are Still Scared to Pay With Bitcoin in 2019 FIO Protocol Aims to FixThat  ,0.235,-0.5106
2019-03-14 22:33,Any bitcoinblockchainICOtoken experts wanna spend 60-90 minutes talking to a class Finance Grad Students the evening of March 27th in person in Cleveland preferred or via video ,0.0,0.0
2019-03-14 22:33,If you look at Bitcoin charts I do get the same feeling below $4k as I did above $6k But instead of asking will support holdI am asking will resistance hold BTC was in bearish pattern above $6k It is now in bullish pattern below $4k ,0.193,0.5859
2019-03-14 22:33,The thing is with Bitcoin and Litecoin the most hashpower always determines what code is Bitcoin or Litecoin because the most hashpower produces the longest chain of work This isnt the case with Zcash due to trademarks  ,0.0,0.0
2019-03-14 22:33,TheCryptoDog One or the arguments I see a lot is that theres more fuckery in bitcoin as opposed to legacyforex because the market is smallimmature and thus vulnerable to whales in a way larger markets arent Id love to be able to test that proposition ,0.229,-0.8825
2019-03-14 22:33,Cosmos plus Bitcoin gives us the chance to create things like prediction markets without needing a new token at alland using the single cryptocurrency that is most money-like as a result of its superior liquidity and acceptance - wheatpond ,0.297,0.9022
2019-03-14 22:33,Bitcoin price BTCUSD holds above $3900 on Thursday morning bitcoin eth altcoins  ,0.0,0.0
2019-03-14 22:33,While shopping for my gf tonight I came to the conclusion that its time VictoriasSecret started accepting Bitcoin ,0.14,0.3818
2019-03-14 22:33,I think the single best use case for bitcoin over the next five years is the collateralization of real world assets to facilitate banking As a matter of fact I dont even know what number two is ,0.217,0.743
2019-03-14 22:33,The Worlds First Commercial Implementation of Post Quantum Cryptography TokenSales icotracker perth baltimore canberra bitcoin france comsa forthworth techcrunch funding iconomi reuters utrust money albuquerque miami Alibaba singapore  ,0.0,0.0
2019-03-14 22:33,flyoverAmericn NemoV8 ReginaT01716957 MorpheusSeeks Holistic health amp bitcoin Which pyramid scheme or multi level marketing product does he also sell 😆,0.103,-0.0516
2019-03-14 22:33,You chase money every single day You stress over money all your life You worship money But you have no idea why money is valuable Money controls your life because you have no understanding of what it is Once you ask yourself What is money Bitcoin will make sense ,0.131,-0.1901
2019-03-14 22:33,Or trade or accepting personal checks or anything I hate money- it means nothing but without it you cant do anything Given even a small patch of wooded land I could make anything I need but you can do nothing when all land is owned and raw materials demand money  ,0.084,-0.3182
2019-03-14 22:33,Never forget why we Bitcoin When dust settled from the collapse 5 trillion dollars in pension money real estate value 401k savings and bonds had disappeared 8 million people lost their jobs 6 million lost their homes And that was just in the USA The Big Short ,0.239,-0.8331
2019-03-14 22:33,A glimpse into the future Register Now amp Start Buying amp Selling Cryptocurrency Crypto Cryptocurrency Bitcoin BTC Ethereum ETH Ripple XRP EOS Stellar Litecoin LTC Cardano Monero TRON IOTA Dash Tezos  👉 👀 📈 📉 ✅,0.062,-0.0516
2019-03-14 22:33,A real leader never panics thats exactly what Tron CEO is doing Justin Sun Forget the recent cryptocurrency market bearish trend Bitcoin and crypto industry have a bright future justinsuntron CNBC mishalederman DavidJDAprile TronNews ,0.161,-0.2718
2019-03-14 22:33,The latest The MySirAylon Daily Thanks to Sgarcia81 601Snappa504 Satiristas news bitcoin ,0.209,0.4404
